Body,aspect_terms
"App stopped syncing transactions, useless!","App, Transactions"
No good for basic simple book keeping and way to complicated. Why would you trust a group of app developers will your banking details,
The android app has many problems but still works for the most part. You're better off using the browser version. The app still has missing features.,App
love quuck books. makes invoicing amd getting paid easy.,
"infelizmente a última atualização a listagem de lançamentos dentro da conta no App ficou horrível, tentaram deixar mais bonito só que ficou ruim para se trabalhar! Os valores dos lançamentos desaparecem caso a descrição seja maior que a coluna por favor voltem como estava!",
Great App,App
The android app has many problems but still works for the most part. You're better off using the browser version. The app still has missing features.,App
good business app. several issues cause having to delete and reinstall but otherwise recommended.,Quality
Good except can't use camera to take pics of receipts. on note9,
spot on,
Great tool for running your business accounts.,
The android app has many problems but still works for the most part. You're better off using the browser version. The app still has missing features.,App
brilliant easy handy for when out on site work with mobile too.,
excellent,
"prices going up, mobile features not improving (bank feeds slow/error, can't do journal entries, etc), their cancellation process was BRUTAL (the button to do it myself online wasn't available, waited on hold forever for the phone number support page said to call, chat didn't answer forever then replied then immediately ended the chat because i didn't respond right away, chat after that kept delaying cancelling, finally cancelled after about 30 mins of trying) +1 🌟 for responsiveness to reviews","Quality, Performance"
"I had an in-app issue and received help immediately. I love this app and really appreciate you guys. you make my life a lot easier, 💯💯",App
it is an exellent accounting application which allow me to be on the right truck with my daily expeneses and income.,
"their cancellation process is BRUTAL. thea button to do it myself online wasn't available, waited on hold forever for the phone number support page said to call, chat didn't answer forever then replied then immediately ended the chat because i didn't respond right away, chat after that kept delaying cancelling (I'm still not cancelled, had the time to write all this while trying to / waiting for chat to cancel)",Customer Service
Great and easy to use,
This app has one major flaw in my view. My bank transactions do not update unless I go through the website and update it there. This is probably the only reason I have this app. This is very annoying and I have contacted Quickbooks about this issue and they are not helpful. They tell me to go to the website and update it there! Would be a great app if they  fix this issue.,"App, Transactions"
Very helpful. Thanks!,
we're learning how to use. it seems to be very useful/beneficial. my guys are picking it up quickly. easy to learn,Experience
saves alot of time,
"excellent app, love it.",App
so far so good,
"please help! the app won't let me log in , its saying error 504 and I NEED this app , it's been 6 months I need it .","App, Quality"
"Eu nem fiz login. Eu coloco uma senha fica com frescura de letra maiúscula, símbolo. jamais eu mesmo vou conseguir lembrar minha senha. Acabei desinstalando sem testar.",Quality
"Great accounts software, easy to use and pricing is best in the market. Previously used Myob and will never go back.",App
love it helps me keep on top of everything,
"Can not find a way to make a bank deposit here and there is no help! No "" bank deposit"" window!",
"I operate two companies through the app and notice that suppliers and customers from one company end up being listed in the other! I would give more stars, but this is a glaring issue that needs resolving urgently.","Transactions, Quality"
User friendly. Very easy to work when away from the office! New features always being added!,Experience
"Easy to follow, easy to maintain.",Quality
"after years of use I'm getting sick of all of the bugs. I'm spending wayyyy too much time on the phone with them, most of it on hold. Don't waste your time and money on the mobile part. I don't think this is out of beta mode yet.",Quality
Expiry and batch number section missing.,App
software works ok and only ok. However the monthly price seems to have gone up exponentially for no reason over the last 2 years. edit: changed from 3 stars to 1 star thanks to the developer's response.,Transactions
love it.,
good app,App
amateurs,App
So easy to follow and use.,Quality
easy to use and so helpful with our small business,
Can't access Canadian accounts with it. so you really can't get a full picture of what is going on. you have to do some stuff on the app then wait until you get back to do things on the other account. it's basically half an app now.,Quality
"The app failed to associate my Quickbooks online account with the app at login.  ""It seems like you have an account with Intuit but no QuickBooks Online company associated with :   my@email  Would you like to create a company?""  Additionally, when trying to troubleshoot this issue, I was given the run around through all services... from FAQs, to online support, to calling directly.  Issue still unresolved.","App, Quality, Customer Service"
app no longer works at all. I've tried uninstalling & reinstalling nothing. I've left emails for QB to contact me regarding this and no response. not looking good for them right now,Quality
Easy to navigate! Great app!,Experience
great app,App
makes my whole world a million times faster and easier. thank you quick books from me and my family,Accountant
Ease of use with lots of support,Transactions
good app,App
software works ok and only ok. However the monthly price seems to have gone up exponentially for no reason over the last 2 years.,Transactions
thieving trash,
very easy to use great,
Very miss leading and is nothink like the TV advert. not to easy to use and over all disappointed. Having to use it because of my accountant. No impressed!!!!,App
valdiralvesdossantos,
Only works half the time i use it,
cant log in because my role is currently unsupported.,Quality
I had done 2 weeks of research before finding a solution for managing my personal finances. It is easily customisable to manage personal finance. i can access it on the go. A few additional features would be nice and i am sure QBO will address these too.,
not good,
so far good. have a lot to learn a but seems to be what I am looking for when starting a new opportunity.,
Very nice updates to the app. Easy to use in the go.,"Updates, Transactions"
जबरदस्त,
invoice number not showing in print bills we can't able to use for billing,Invoicing
Add Business WhatsApp for invoice sharing,
"Everything right at your fingertips! No matter if you are at a ball game or grocery store you can quickly access your books, take payments by ach or ccard, or make sales right from your smartphone. The features are easy to use and allow me to stay on top of my business. If you are a business owner who is always on the go, not a lot of time to sit behind a computer cause you are out there making that money in the real world, I highly recommend this! Download it and you'll see 1st hand!","Quality, App"
"makes life so much easier, I can input payments/receipts from the couch...ideal!",
Really good. Saves so much time,
great,
still learning,
excellent,
-🐈🐯🐗🐺ďzaz2wsasass,
"If you have a service business and you hate writing up invoices, this is an awesome app. Helps you keep up. If you have internet, you can send invoices anywhere in the world at any time","App, Invoicing"
nice,
love it,
ghatiya app don't download,App
"really hard to un subscribe , cheep get what you pay for ...","Experience, Subscription"
Great,
"I can show up on the job given an estimate 10 minutes later I've got a down payment , And the confirmation to do the job I've never had this ever before in my life",Estimates
"I've always liked using this App, however it's developed a glitch where it's unable to start. This has been going on for awhile now. Very annoying to not be able to access when you need it. i will update the review when they fix this","App, Quality"
كيف يتم تسجيل الدخول بعد كتابة اسم الشركة,
makes my life as a designer and contractor so much easier,
nice,
great app!,App
🖕🖕,
"Good summary of your business right at your finger tips. Like the ability to take pictures of your receipts and enter the expense on the spot, no need to worry about keeping receipts.",Expenses
Great tool for our business. Definitely makes life easier!,
"Revising my review from a 5 Star to Just 2 Stars. I feel the Android app provides very basic functionality. You cannot access the vendor data. Any new products added will be default be considered as Services, hence you cannot capture cost, Inventory Account, etc... It would be much helpful if you can access basic reports on the app too.","App, Quality"
handy but a bit slow,Performance
Good,
incrível de verdade foi uma grats surpresa !!!,
Reliable. Simple. Improves my efficiency tracking receipts.,Experience
"it is ok, Still navigating, I will review again later",
easy to use,
great app,App
there's no option to cancel my subscription,Subscription
useful,Experience
Awesome easy to use love it,
Fairly easy to use however it could be smoother when you enter new transactions instead of having to go all the way back to the drop down menu.,Transactions
good,
great app,App
unworkable garbage. sso doesn't work. can't sign in with otherwise working credentials. leaves orphaned chrome instances running for every failed sign-on. absolute trash; fire these developers.,Quality
amazing. took my business to the next level,
"Do not use this app! Logging in is a painful experience. Once you log in, it will ask you for a QuickBooks password, when you enter it, it will throw you back to the login screen. if you reset your QuickBooks password it will allow you in once. Next time you log in, you're back to the same problem. They need to get rid of that idiotic QuickBooks password!",Quality
great for business,
"great app, easy to use....",App
"Reasonable APP, I don't ask much of it to be honest but being able to invoice onsite is nice. The feature for photographing receipts is pointless as you still have to enter all of the information anyhow, and it would be nice to be able to send a customer a statement from the APP while I'm stood in front of them. I don't use the receive online payment option so I can't comment.","App, Invoicing"
So how long is your app going to be temporarily unavailable? We're going on 3 days now and I need to bill people.,
love it for ease of use and ability to work from any device,
great,
says that I am not connected to the internet when trying to sign in although I clearly am.,
"Excelente y Funciona para Mexico, olvidate de generar complementos complicados, aqui los haces con un solo clic.",App
Good deal,
great app for small business,App
Excellent solution for my small business. We love the integration of multiple apps that we use in the field.,App
very convenient!,
ease of use. it's very helpful to invoice and receive payments using my phone while still with a client,Invoicing
very nice,
error free use. hassle free reporting. experience is good. user interface is clutter free. will update the review after more use,"Quality, Experience"
Comparado a outros apps e softwares ele é sem dúvidas o mais fácil de se trabalhar. Tanto o site quanto o aplicativos são usuais. Recomendo,
is ok,
easy to use. simple navigation,Experience
love it!,
Great app and very convienent!,App
great,
Really easy to use. Highly recommended. Would like to see payroll either included or developed separately/linked.,
does not support in india,Customer Service
nice,
very handy to use,
graet,
decent app,App
great,
😤😡😡😡,
Fantastic software,
Thanks for making our financial records tracking make easier. Software is amazing. suggestion: please add Purchase Order in mobile app.,App
"The fingerprint authentication doesn't work. Says ""error returned from client"" when I try to enable it. Others mentioned screenshots don't work. I know there is a workaround, but that requires you to permit it every time you want to use it because it limits you to 15 minutes. There are no reports available on here which is most important to me.",Quality
amazing for my lawn care business,
APP NEVER OPENS COMPLETE BULL,Expenses
great,
"Won't sync, only shows some of my invoices. Am I doing something wrong or ???🤔","Invoicing, Quality"
very good,
remarkable,
love this app!!,App
I use this app all the time.,App
I love my quickbook,
facile et efficace,
"Access is unreliable. I've had to reinstall several times. For the cost, this is unacceptable.",Quality
"Quickbook est une arnaque ! L'essai gratuit n'a rien de gratuit puisqu'il faut attendre un mois et qu'ils commencent a facturer pour pouvoir annuler un compte. Ils refusent de cloturer les comptes, ils ne respectent pas les lois sur la protection des donnees personelles, et une fois qu'ils vous ont donne un numero de cas, ils envoient des reponses automatiques disant qu'ils n'ont pas connaissance de votre cas. Ce sont des truands, tout simplement. A fuir a tout prix !!","Help, Quality"
"Not sure why I pay $16 a month for this app when it only works 60% of the time. Please get the bugs worked out or I will have find another company to run my business with. Cant access my account on tablet, Cant save invoice or estimate on s8. please fix.","App, Quality"
love it,
"Not sure why I pay $16 a month for this app when it only works 60% of the time. Please get the bugs worked out or I will have find another company to run my business with. Cant access my account on tablet, Cant save invoice or estimate on s8. please fix.","App, Quality"
everytime I try to log in I get an error! I've restarted and uninstalled and it still won't work,Quality
"I can't remember the last time I was this frustrated with an app and/or company. More often than not, the app and/or the website DO NOT WORK. They sure don't have any issues with their auto-renew and collecting money from users. They just can't figure out how to provide a product that works and customer service that can, or even wants to, help. Think long and hard before choosing Quickbooks for your business. I wish I had.","Experience, Expenses, Customer Service"
great,
exelente proposta,
works well,
Much of the same functionality as on a computer when invoicing. Wish it gave a full keyboard option in the number fields though (I have to copy paste a - if I want to input a negative amount),
Why this app is not in french ???,App
simple and easy to use. professional,Experience
nice app very usful and conviniant,App
"Says its free, requires subscription.",Subscription
very easy and help full,
"A good app, undoubtedly. However, I don't think its a good idea to personally call people who sign up, I don't appreciate it at all, it is highly inconvenient and annoying. I signed up twice mistakenly and was called on both occassions explaining the app and then insisting I sign up and give my card details over the phone to lock in the subscription discount. I'd rather explore the app at my own pace and not be asked to lock in the subscription straight away.","App, Subscription, Transactions"
Great Application,
"Easy, Effective,and the best part it's cloud base you can access it anywhere.",
"so many glitches. pictures for expenses won't save, multiple expenses are copied when trying to enter just one expense, difficulties entering my password, random closing, disappears off my screens and the icon has to be reset.....very disappointing","Expenses, Subscription"
great app and easy to use,App
Works great! Easy to keep up with finances for tax purposes.,
terrable...it has taken forever and still cant get my pay stub imfo! help desk was no help.,Transactions
very bad,
"Very, very slow and to much freezing between transactions. I can't work properly. you need to speed up!","Performance, Transactions"
no free version,
i love it! its handy!,
So glad we didn't pay for Xero. QB does everything we need and is user friendly for tech-derps like myself.,Experience
So easy to keep track of my business transactions!,
"great app, works good",App
"The app offers no simple means to cancel your account should you wish to do so. Their help desk also seems eager to push you off on to other, equally unhelpful venues. They also informed me that once I manage to cancel my account (if even possible) they will continue to hold on to my personal information, defeating the point of cancelling an account.",App
really nice bookkeeping system. Much better than the desktop version. Synchronizes with my bank and square just fine.,
do not use unless you want to be on hold for over an hr and transferred multiple times. if you are a business owner and value your time go elsewhere,Quality
great,
I'm a mechanic and I need to turn a wrench. Quickbooks buys me time.,
"Easy to setup & customize invoices, accurate, I am pleased!",Invoicing
Love the app feature! I'm getting work done on the bus!!!,
"Very effective app fkr my business, just starting to link in with using receipt bank to auto match the bills. happy recommend for small business, would ve nice to have mileage part of the self employed version included too.",App
good,
Needs updating! I am an Accountant and uses quickbooks a lot! I would rate more if some of the features I use are in the app like timesheets. Invoice payments doesn't allow you to choose which bank account was payment made to. It really needs some work.,Quality
"The previous version didnt update dashboard. This latest version does not run on my Samsung s9 at all. Quits with an error after signing in. I have uninstalled, reinstalled, still won't work.","Updates, Dashboard, Quality"
Great app wish it was as simple as quickbooks self employed,"App, Experience"
Easy to use and seems to have no glitches,
great app. I have enjoyed learning on the uses for it. my only complaint would be the overall price I pay for everything. I feel like I get nickle and dimed on things I feel like should come with my monthly fee. with that being said I still plan on using this since it works very well and it has overall saved me time.,App
great,
everything is simple and easy to use,Experience
I do invoices and print from my recliner. love this app. And sometimes generate estimates minutes after finishing my work before leaving the clients home. VERY CONVENIENT !!,"Invoicing, App, Estimates"
"I've just started using qb and I'm very impressed. I was using xero and truelly,it has been horrendous. qb all the way. so user friendly.",Experience
Great app. Please keep your prices reasonable.,App
good,
Nice,
"Fantastic app to keep track of all my construction expenses, so much simpler being able to log expenses straight from phone.","Expenses, Estimates"
"Explain to me why I cannot screenshot anything any more? I have multiple customers that like to see their over all balance owed but now I can't send them a screenshot anymore. So you update the app to fix things, manage to mess up the one feature that worked best for me and still haven't fixed th spelling on the word supplies (it's literally spelt suppliea). Great job!",Quality
My issue has been partially resolved. I would give them 4 stars if the process wasn't so difficult.,Quality
really easy and great to keep on track of things,
Banking is better and easier with the QuickBooks app,App
Life saver!,
so far so good..,
Es un excelente programa,
quick easy useful,Experience
Time saver,
gg,
good,
Really very nice job,
Always logs me out and very difficult to log back in.,
easy to use,
So easy to use!,
Ease of use and reliability are top notch!,
"moderate user, nice to estimate and invoice on the go","Experience, Estimates, Invoicing"
every convinient,
nice,
great app,App
"Overall I've been satisfied with this app. The convenience of having my business financial information with me at all times is valuable. However, while originally having rated this app 5 stars I've reduced the rating because of my frustration with Intuit to address two long standing issues. In spite of all that one can do from within the app bank deposits can't be recorded. The suggested fix is to log into the account on-line and do it that way. Really? If I have to log into the account on-line to perform this simple activity what's the point of using the app? Also, there is no way to manually mark a bank transaction as cleared. Again, really? Both of these seem like pretty simple functions, but notwithstanding the fact that they've had multiple requests Intuit seems to ignore them. Disappointing!","App, Transactions, Experience"
easy use for on the road estimates and invoices.,"Estimates, Invoicing"
good,
good,
easy to maneuver love this app.,App
can't get logged in right now! ugh!,
works wonderfull,
easy to use. does what i need it to do,
This app is making my life life much easier!,
bagus,
More user friendly and flexible than Sage,Experience
Very useful App,App
nyc,
"i hate it. you can't do ""billable"" expenses from the app. you cant edit invoices that have been sent. terrible. i hate it.",Expenses
buena aplicación,
excellent,
very useful app only problem is not have a contract format you can add that please,Quality
Works well sometimes buggy,Quality
"When it works, its great. Don't count on it when the internet is even remotely slow. I had to resort to another sales app to complete sales. Lost sales and it cost me more money to use the other sales app.","Customer Service, Subscription, App"
invoice design could look better.,Invoicing
Surprisingly useful to be able to do invoices etc whilst on the road.,"Quality, Invoicing"
great,
Great!,
very easy to use,
makes adding receipts supper easy,
Great,
awesome,
gives most the features but to often it tells me i have to goto the website. this presents problems as i essentially live on the road and dont have a computer with me and there website is most definitely NOT mobile compatible. needs more features added. at least the ability to manage payments and deposits from the app.,"Quality, Customer, App"
"Most of the functionality I've run into is great. But requiring users to add the payment on the web is the dumbest thing in the world, and is more complicated than it needs to be. Mobile web page doesn't work with multiple browsers, so it's literally impossible to keep QB finances updated. All it does it keep track of what I spend, so I'm always negative. Customer service kinda useless. Very difficult to contact them... In India. Bring customer service home!!!","Updates, Customer Service"
"Does what it needs to, could use a few more features to make things easier",Experience
"Excelente, muito fácil e prático.",
is good for me,
"I am a employee for a small business, and we use quickbooks for all our invoices, and keep track of customers.",Invoicing
Crazy how you can remove headaches with this app.,App
The best billing for your business!,
good nice,App
this company is a joke they will not allow hemp-based transactions it is preventing my freedom of doing business the FED has mandated Banks take money on hemp transactions,Transactions
seems ok,
ok,
Bagus,
"easy and quick to use for Estimates, invoices , receipts and keep track of expenses and income","Invoicing, Expenses"
crash all the time.,
"Very easy to use. I was put onto this by my accountant and I am so glad she did . If I can do it, anyone can.",
"good so far, just switched from desktop version since 1998",
very user friendly,Updates
its really very nice,
🧐,
no problems. real time bookkeeping,Quality
ok,
"good,good, !",
App keeps closing right after opening even after uninstalling and then installing and also clearing app cache and data. The only update available to me is the 19.5.2,App
"glad it works for the self employed; just wish the company would pair it with their tax software app, for easy downloads of info during tax time... which is 4 times a yeae, very weird for the new business ownee.",App
très bien mais le résultat provisoire ne se met pas à jour. impossible également de mettre des remises. sinon très bien,
"great app, doesn't crash and still much to learn from it bur its helping keep my business organized","App, Help"
We using this tool for our daily works and it's fantastic. Highly recommended.,
great software. made my life much much easier!,App
does more theni need it too. Fits my needs.,
"I've used the desk top pro version for 6 years and just switched to the online version. the format is different, but it has so many great features and there is always someone there to assist you with a push of a button. Plus I can access from any where with any device. By far better then any desk top version. Thanks Quickbooks!!!!",
"superb app for accountibility, better than Tally",App
Couldn't run my business any other way ..too easy,
App keeps closing right after opening even after uninstalling and then installing and also clearing app cache and data.,App
EXCELLET.,
"be careful, all you data is stored in USA",
its jyst so easy to use. worth every penny,
esta en teresante la app,App
ok,
great app,App
bad,
"great, but don't know where to record my stocks",
Lots of points missing but avarage,App
no option to cancel subscription! don't subscribe!,Subscription
just makes life so easy and simple to use once set up,Experience
great product,
Great app helps my accounts team so well,App
Very easy to use,
im dowloading this for robux😉,
I am so pleased at running my business using QuickBooks Online and integrating it with Live Plan online as well. The value of having easy access through the QuickBooks app keeps me instantly informed of important financial aspects of the business.,App
Terrible,
awesome,
its really a pity that country is limited to english speaking country ... they should include more country and currency :-P :-P,
Great app,App
🐼🤞👑💖🔫💪,
easy to use. very intuitive ;-),
Love It!,
Easy to use and perfect for a field service company!,
lots of odd problems. invoices dissapering invoices with same number invoice not adding correctly.,"Quality, Invoicing"
so far I've loved everything about this app.,App
app stops working constantly. mixes up info on invoice and has even added up invoice totals wrong. update getting worse and nothing is being done to fix. Have asked for help and get none. I have invoices that have disappeared off the app!? to quick books STOP THE B.S. AND SUPOORT YOUR APP.,"Invoicing, Quality, Updates, App"
its been getting slower. sometimes I just need to enter a transaction and it wants to upload all my data and it can take a long time. I just need to upload an expense and receipt..,"Subscription, Transactions, Expenses, Experience"
The issue that Im having is when I'm working on a estimate or invoice and click on done it doesn't automatically take me to the activity page as it did before now forcing me to back paging and the app asking if I'm sure I want to continue or save.... which sometimes I think I have saved my estimate/ invoice and I didn't having do the work over or resaving causing to double estimate/ invoice... I hope you guys can fix that ASAP,"Quality, Invoicing"
this app is useless and doesn't work properly on a phone,App
this app frequently will not open and when it does I can input up to 3 expenses and then it freezes.i have had to uninstall then install repeatedly to get it to open..I want to like it but is so frustrating,"App, Expenses, Quality"
quickbooks has allowed me to continue with my business by taking care of all of the administrative work for my business. thank you quickbooks,
Good choice,
facile et efficace,
great,
I just started trying my hands on an accounting software and I think QuickBooks the best. As a student and a beginner QuickBooks is easy to use and easy understand.,App
I love the ability to work mobile and quickbooks let me do just that.,
"good program, app needs to be able to modify more though like the desktop version",App
"Easy to set up, nice UI",
I opened my own business 18 months ago and started using Quickbooks 6 months ago. I really regret not using Quickbooks from day one. I thought I was saving money by using another service. But at the end nothing comes close to Quickbooks and all its features it has to offer.,Transactions
"Clunky, ugly app with barely any features. There's no way to refresh your banking data within the app, though navigation and ux is so awful I maybe just can't find it. No consistent design standard throughout with multiple different menu types, navigation styles, presentation. Almost no graphics, just pages of text. Invoicing, expenses and tracking are all so horrible I'm forced to use the (also underwhelming) browser version. Edit: the developers comment below doesn't work as of 13/06/19","App, Subscription"
awesome,
Great app use it all the time. east to use,App
God,
its really easy to use,
loved it,
facile et rapide pour ensuite faire les états.,
Great to have accounting info at your fingertips. Only sometimes wish I could get more info from the app but it had all the basic stuff.,App
App keeps closing even after uninstalling and then installing and also clearing app cache and data.,App
Good,
so easy!,
not viable for my purpose,
Love Quickbooks online and love having access on my android!,
App is crashing as soon as it starts... 🙄,
Till now I am Satisfied with the app....,App
great...,
nice,
great tool for my business on the go,
good,
Most capable bookkeeping product ever!,
I've only used it for a short time but it works well so far. Pretty easy to use and keep track of everything.,
This is nothing more than a money grabbing scheme.,
totally helping my work,
As an accountant it is a handy app to have installed on your phone.,Quality
"Good Stuff. All the monthly service fees, debt and credit fees, payroll fees, they sure do add up.",
great servace,
makes life easier for thse of us with mathmatical challenges and poor memories.,
works,
"I've been using Intuit, QuickBooks, Quicken for more years than I can count. I would never use another accounting software! I love QuickBooks! easy to use",
Good info,
Darun,
it's so ugly,
não consegui acessar,
"This app is extremely slow, to the point of being unusable. The Bank Feed is ridiculously slow, anf accepting transactions lags terribly.","App, Customer Service"
satu dulu kalau bagus baruh ditambah,
liked it,
Difficult to use. Much different than the desktop version. I only use it if I am desperate.,Estimates
its great!,
They make it very confusing to cancel your subscription. I've been playing around eith my account for 30 mins and still can't find where to cancel my account and not get charged by them. I swear I'm not stupid either. Also half the pages don't load when i need them.,Subscription
good,
Overall QuickBooks works well,
it is very easy and business to enter and transfer funds and I think download is the best part of the whole program,App
"They want nothing more than taking your money! Wouldn't refund a $10 purchase when they couldn't transfer my subscription to the correct company file. I had a duplicate company file setup during my online migration, which according to support happens often.","Subscription, Customer Service"
"Clunky, ugly app with barely any features. There's no way to refresh your banking data within the app, though navigation and ux is so awful I maybe just can't find it. No consistent design standard throughout with multiple different menu types, navigation styles, presentation. Almost no graphics, just pages of text. Invoicing, expenses and tracking are all so horrible I'm forced to use the (also underwhelming) browser version. How did this pass quality control?","App, Subscription"
loved it,
"Purchased thru Google Play-can't upgrade! Don't get discounts from Quickbooks website due to payment to third-party (Google Play). Never had so much trouble trying to spend MORE money! This is an overall great product and it's robust, however, I'd like to be able to upgrade after Sign-In and have confidence knowing I will not lose all my set-up info. Upgrading shouldn't be this confusing or stressful. TIA, I'll update my review when I hear back from developers/customer support.","Quality, Customer Service"
i love this app,App
"quite and easy to use, great for a small business",
LisabethDixon Save,
Easy to use and helps greatly with tracking expenses and staying on track.,Expenses
good app and easy to use.,App
Only just starting using it but seems easy enough once its all set up.,
awesome. if they would include OCR it would be even better.,
Great system for our bookkeeping,
really poor compared to PC,
"i wrote you before, i have uninstalled app.. i have a android.. app wont open says.. experiencing techinical difficulties temporarily unavailable..","App, Transactions"
great,
Great app very user friendly,App
This Software is superb for Business owners but need some customization in Product and services option they should provide stock quantities in app and also purchase Invoice with itemised discounts option should provided in app,"Transactions, App"
This Software is superb for Business owners but need some customization in Product and services option they should provide stock quantities in app,"Transactions, App"
Reasonably good but not intuitive,
great,
won't update....,
"doesnt always load, have to un install and re install every other day",
correlate my customers by ZIP code,Customer
good apps,App
Very helpful for a small business.,
Great,
Amazing! Should have been using this a long time ago!,
The app is not as user-friendly as QuickBooks online but it's still a great program.,App
awesome,
helps me run my buisness smoothly by myself,
semoga aplikasi ini tidak mengecewakan,
easy to use,
Easily wonderful!,
loved it,
"where a brand new bakery, and this has been great! We can quickly do invoices and get paid. our bookkeeper especially loves this!",Invoicing
App won't upload my bank transactions. How do I add revenue?,Transactions
v good,
I used the app mainly to create invoices when I'm out of the office. It's so awesome to be able to do this on the fly!,"App, Invoicing"
Very helpful. Great Job on the app,App
very good,
Amazing,
Makes our life much simpler,
still no inventory on mobile,
simontok,
Great accounting software,App
best,
great for small business,
great product and easy to use,
great job guys this is what l call perfection,
great,
exactly what I needed and expected for my business.,
"I was originally looking for one program to run customer orders and another for bookkeeping, but after trying out Quickbooks I have decided to use it for both purposes and am very happy with it!","App, Customer Service"
ccan it be helpful to a kenyan guy,
bomm,
not for me and now I can't unsubscribe or delete account please delete account I don't want it and your unsubscribe tool does not work.,Quality
"I would give at least two more stars if the app actually lets me use my card reader, followed by the lack of automatic syncing and not even using active price rules whenever I need to make an invoice for a particular customer. Please fix the card reader settings at least.","Quality, Invoicing, Customer Service"
don't like that you have update in order to open app.,"Updates, App"
very good for the account purposes,
great product easy to use and understand. not complicated at all make changes view reports and see everything clearly.,Quality
"Update!!! I've been using the app for about 6 mths now and am really enjoying it. As they update the app there are more options and is becoming more user friendly. One thing I would like to see if automatic monthly statements, being a small company I don't always remember. The only other thing would be a way to accept credit card payments, my customers would love that. Thanks and keep up the good work.","App, Updates, Customer"
nice...love this app a million times. please download.. very useful and helpful,
"Very simple and easy to use. Great for on the move banking, recieving, and invoicing.",Experience
"So far...I began adding my customers, payments, sales receipts etc, and it's working out well! Pretty simple so far!",Help
great app!,App
Excelente app para llevar las finanzas del negocio.,App
bare dua jk lh dolo,
Never ever sign up through Google. I have had 4 years of trouble teying to get the to shut of my acct and stop billing me.,
Good and simple,
excellent including mobile app,App
great app and easy to use,App
looks really good but not for me as I don't send enough invoices so not worth paying for. If I had more business and earnt more money then it would be perfect. But for someone who does cleaning a couple of times as a week not worth paying. shame there isn't a free version.,Invoicing
good,
very helpful!,
hu des duff xxv FCC s 6had es mb DEA ct CNN h bag nm,
not able to create/ send statements to customers like browser QuickBooks online.,
Great small business app for on the go!! Love it!,App
easy to use!!,
excellent invoices and accounts at finger tips,Invoicing
great app for small business.,App
i am having business of coal trading.in coal there is cess which is part of gst i.e 400/tonne.there is no option of that...,
good,
super convenient!!,
Still awesome!,
very good!,
So much help with organizing the financial side of my business.,
Good,
it's,
Very fine app,
cómo se pone en español la app?,App
gg,
Why can't I accept payments in the app anymore?,App
amazing! thanksgiving,
makes billing people easy!,
"Jadore, merci de me rendre ma vie plus facile avec cette application. Les rapports m'aide énormément avec la gestion de mon entreprise.",Subscription
Easy to use,
loving it,
Ben Wilson,
great accounting software,App
makes my business easier and efficient,
"it's okay for recording all your transactions but is a nightmare if you want to print it out for your accounts/records. don't believe the reply below as it is a stupid setup, why can't you just have a print option from the app? with slow books you have to email it to yourself in excel, download and pay for excel and then attempt to arrange the format to fit an A4 page. Come on quick books get your finger out and make the system user friendly.","Transactions, Experience, Performance"
good,
Does the trick. Is easy to use and does not cost and arm and a leg. I'd reccomend.,
"app doesn't have all features, as we have it in web application.",App
Customer front its ok. But suppliers front need an Improvement as well as products and services reports wise,Quality
not working,
love this app,App
functional and so easy to use,
Great app! I do wish the pricing was lower,
"How to Manage Inventory ? I need to know the state of my Stock, ie Item, Quantity, Cost etc as the sales goes on How to do that ???",App
it is good wish they held classes to learn more about this,
"Es genial en líneas generales, la uso en mi trabajo Y POR ESTE MOTIVO la adquirí para mi ámbito personal. Súper completa y no tengo quejas de su funcionalidad (al entrar a su interfaz). SIN EMBARGO, la versión online fue un proceso realizar el pago, pues la página de cobro no cargaba, al igual que la página de login luego de haber realizado el pago. Incluso hoy quiero intentar logearme y ni siquiera carga la página de inicio. Lo he intentado todo (eliminé cookies e historial) y nada. AYUDA.",Quality
App crashes a lot. Several times after updates are made to the app it will crash after I have to sign in again. Now it just crashes after I try to sign in.,Quality
amazing,
Bonjour pourquoi j'arrive pas à le télécharger? ça comment et s'arrête tout seul quelque 2 minutes plus tard,App
Best accounting application and user friendly. Highly recommended for small scale business,Transactions
online app is quick and easy to use,App
Best accounting application and user friendly. Highly recommended for small scale business,Transactions
great tool to have everything in one place,
L'appli crash en boucle. Les mises à jour ne corrigent pas le problème.,Quality
"Most of the functionality I've run into is great. But trying to convert estimate to invoice, then add the payment on the web is the dumbest thing in the world, and is more complicated than it needs to be. I still can't figure it out. And customer service so far is non-existant. Not entirely happy.","Invoicing, Customer Service, Quality, Experience"
"it's good, but they keep raising the rate!",
Happy birthday have a blessed day brother,
Often fails to sign in. Limited app that hardly works. Skip the download and just visit the website.,"Quality, App"
sabe trabalhar com ele atende as expetativas,
"integrates well, but has some issues. and not as pliable as it should be for custom business set up. Reporting features are not customizable as they could be.",Quality
signed on to the mobile app but it will not pull up the data for my business. keeps saying that there is a technical issue. Have tried many times. No luck.,Quality
Great except information does not transfer from QB payment into QB online; only the deposits with daily lump sum.,
great vision & great for bussinesses.,
Experience is good,
really. trying to do work here and you are forcing an update. no time for this bs,Experience
Magnificent app,App
works good,
Great app!,App
it's a good app only thing is sometimes it takes a while to upload but it could be the servers of our phone,App
A life saver!,
